date_hour,sentiment_index
2024-01-01 00,0.6875797486500146
2024-01-01 01,0.5885867104164135
2024-01-01 02,0.6372711400392583
2024-01-01 03,0.6095455130067388
2024-01-01 04,0.7543419822038752
2024-01-01 05,0.6966369015563687
2024-01-01 06,0.761175587197959
2024-01-01 07,0.6252193788093185
2024-01-01 08,0.816663989931406
2024-01-01 09,0.6187700688416516
2024-01-01 10,0.654051915618994
2024-01-01 11,0.6901016476392637
2024-01-01 12,0.7058224258390727
2024-01-01 13,0.7473542785052499
2024-01-01 14,0.7243441656431783
2024-01-01 15,0.8039195032820939
2024-01-01 16,0.6100954409003976
2024-01-01 17,0.6207641447626187
2024-01-01 18,0.6577436950318696
2024-01-01 19,0.6669581856121826
2024-01-01 20,0.6600792444104983
2024-01-01 21,0.7200178130446817
2024-01-01 22,0.6726178806276525
2024-01-01 23,0.6810200151197544
2024-01-02 00,0.7512150504178072
2024-01-02 01,0.5414691925245895
2024-01-02 02,0.7249118539161643
2024-01-02 03,0.7877889542276241
2024-01-02 04,0.6106043793162373
2024-01-02 05,0.6157889004120523
2024-01-02 06,0.99353525246622
2024-01-02 07,0.729907091787847
2024-01-02 08,0.6584735598737933
2024-01-02 09,0.6967171336936193
2024-01-02 10,0.7010877501410382
2024-01-02 11,0.8009978430111016
2024-01-02 12,0.5909955040812603
2024-01-02 13,0.6875550418201557
2024-01-02 14,0.6472907019095909
2024-01-02 15,0.5721126446567196
2024-01-02 16,0.5491689059806443
2024-01-02 17,0.5650812577350204
2024-01-02 18,0.5895512485062829
2024-01-02 19,0.6079634120317151
2024-01-02 20,0.6525186262618556
2024-01-02 21,0.6463106341507574
2024-01-02 22,0.6119352466729167
2024-01-02 23,0.5793179135460926
2024-01-03 00,0.5945973102803391
2024-01-03 01,0.5598895671594936
2024-01-03 02,0.6132703694629243
2024-01-03 03,0.35759584359360475
2024-01-03 04,0.35307987951222924
2024-01-03 05,0.460542047474397
2024-01-03 06,0.4805376459847215
2024-01-03 07,0.6295731639716633
2024-01-03 08,0.6429207612563762
2024-01-03 09,0.7805230606092685
2024-01-03 10,0.722891412635914
2024-01-03 11,0.6001253455102402
2024-01-03 12,0.6407110219397901
2024-01-03 13,0.5741102994068776
2024-01-03 14,0.6669617497777676
2024-01-03 15,0.639919236937642
2024-01-03 16,0.5816670954764691
2024-01-03 17,0.661983338939443
2024-01-03 18,0.6295484985147648
2024-01-03 19,0.62278464903683
2024-01-03 20,0.6595374630206684
2024-01-03 21,0.6336680830076168
2024-01-03 22,0.6578815027212028
2024-01-03 23,0.6639969261822651
2024-01-04 00,0.6401188523598395
2024-01-04 01,0.5986095657110874
2024-01-04 02,0.5941081818656323
2024-01-04 03,0.749869065751054
2024-01-04 04,0.7066289567403864
2024-01-04 05,0.6993067441289136
2024-01-04 06,0.6306914983483339
2024-01-04 07,0.631502844184782
2024-01-04 08,0.6816674624199839
2024-01-04 09,0.6996893177370452
2024-01-04 10,0.6435916445428095
2024-01-04 11,0.6009091113993886
2024-01-04 12,0.6342924175521536
2024-01-04 13,0.6418037827052897
2024-01-04 14,0.64735338021536
2024-01-04 15,0.5865952555454192
2024-01-04 16,0.6001320970444404
2024-01-04 17,0.6638398291384674
2024-01-04 18,0.6128338604522565
2024-01-04 19,0.6645385261648628
2024-01-04 20,0.5657351252741364
2024-01-04 21,0.597025849612911
2024-01-04 22,0.5949484474051396
2024-01-04 23,0.5893316705304203
2024-01-05 00,0.6690656460263438
2024-01-05 01,0.5945207659489339
2024-01-05 02,0.6572194662435743
2024-01-05 03,0.5186841929111576
2024-01-05 04,0.4665654058888075
2024-01-05 05,0.7324557679257664
2024-01-05 06,0.7235014721973759
2024-01-05 07,0.6602860833557646
2024-01-05 08,0.717582645887558
2024-01-05 09,0.7093946481785051
2024-01-05 10,0.6248360168172099
2024-01-05 11,0.6569436399876863
2024-01-05 12,0.6805411386305561
2024-01-05 13,0.5827230060144256
2024-01-05 14,0.5202393223439127
2024-01-05 15,0.5669163089361444
2024-01-05 16,0.6105965395889967
2024-01-05 17,0.6257626895338824
2024-01-05 18,0.7073630878181251
2024-01-05 19,0.6312782337560102
2024-01-05 20,0.6456787974189235
2024-01-05 21,0.6890933885615145
2024-01-05 22,0.6536856906566624
2024-01-05 23,0.7051919709697558
2024-01-06 00,0.5976372935649364
2024-01-06 01,0.5957544892120576
2024-01-06 02,0.5529871580042489
2024-01-06 03,0.7047723492224924
2024-01-06 04,0.6919415853655736
2024-01-06 05,0.7858573123673777
2024-01-06 06,0.6671777826797575
2024-01-06 07,0.6556460791394243
2024-01-06 08,0.6484355434972748
2024-01-06 09,0.6456974961900013
2024-01-06 10,0.7160725425736405
2024-01-06 11,0.7312116792033032
2024-01-06 12,0.7032493566268049
2024-01-06 13,0.6884321970219488
2024-01-06 14,0.697360773999906
2024-01-06 15,0.7088287046277912
2024-01-06 16,0.7079096578851546
2024-01-06 17,0.709394058904341
2024-01-06 18,0.5998906779934091
2024-01-06 19,0.40760543533650473
2024-01-06 20,0.6068866455358609
2024-01-06 21,0.7075159284863958
2024-01-06 22,0.6624585749950493
2024-01-06 23,0.6792160526947808
2024-01-07 00,0.7822372488355874
2024-01-07 01,0.760023717390065
2024-01-07 02,0.6740327897961715
2024-01-07 03,0.7846800120344247
2024-01-07 04,0.7199395889964383
2024-01-07 05,0.6302223098650023
2024-01-07 06,0.4773068552450161
2024-01-07 07,0.6484115273855049
2024-01-07 08,0.7688024385846921
2024-01-07 09,0.6625211602687037
2024-01-07 10,0.6813428833319396
