Price,Adj Close,Close,High,Low,Open,Volume
Ticker,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS
Datetime,,,,,,
2024-01-02 09:30:00+08:00,2970.973876953125,2970.973876953125,2976.268310546875,2966.139892578125,2972.592041015625,970913712
2024-01-02 10:30:00+08:00,2968.49462890625,2968.49462890625,2973.030517578125,2965.264892578125,2971.413818359375,530590504
2024-01-02 11:30:00+08:00,2968.697998046875,2968.697998046875,2968.697998046875,2968.4326171875,2968.5595703125,16141200
2024-01-02 12:30:00+08:00,2972.71142578125,2972.71142578125,2973.419677734375,2968.08740234375,2968.716552734375,0
2024-01-02 13:30:00+08:00,2966.58740234375,2966.58740234375,2973.029541015625,2965.599853515625,2973.029541015625,768907904
2024-01-02 14:30:00+08:00,2963.421142578125,2963.421142578125,2969.2099609375,2962.92626953125,2966.873291015625,3301453500
2024-01-03 09:30:00+08:00,2962.353271484375,2962.353271484375,2970.955810546875,2955.905029296875,2956.6357421875,3379991508
2024-01-03 10:30:00+08:00,2957.349853515625,2957.349853515625,2967.103271484375,2956.78955078125,2963.843017578125,0
2024-01-03 11:30:00+08:00,2957.343505859375,2957.343505859375,2957.548095703125,2957.343505859375,2957.548095703125,29264200
2024-01-03 12:30:00+08:00,2954.7001953125,2954.7001953125,2957.57958984375,2953.2900390625,2955.873779296875,2666972200
2024-01-03 13:30:00+08:00,2967.150390625,2967.150390625,2968.7373046875,2953.380615234375,2954.552978515625,300125304
2024-01-03 14:30:00+08:00,2966.831298828125,2966.831298828125,2969.68408203125,2965.24267578125,2967.41650390625,0
2024-01-04 09:30:00+08:00,2950.989501953125,2950.989501953125,2966.682861328125,2947.054443359375,2964.05517578125,2398319408
2024-01-04 10:30:00+08:00,2940.8857421875,2940.8857421875,2951.277587890625,2936.634765625,2950.7412109375,566162704
2024-01-04 11:30:00+08:00,2941.39892578125,2941.39892578125,2941.39892578125,2941.111083984375,2941.13720703125,15449400
2024-01-04 12:30:00+08:00,2943.45751953125,2943.45751953125,2946.8017578125,2939.812744140625,2940.838134765625,0
2024-01-04 13:30:00+08:00,2949.740234375,2949.740234375,2951.293212890625,2939.010498046875,2942.896484375,232531104
2024-01-04 14:30:00+08:00,2955.76025390625,2955.76025390625,2956.826416015625,2948.2724609375,2949.59765625,0
2024-01-05 09:30:00+08:00,2963.969970703125,2963.969970703125,2967.9677734375,2942.436279296875,2949.01953125,3595773208
2024-01-05 10:30:00+08:00,2950.692626953125,2950.692626953125,2966.8330078125,2950.2958984375,2964.173828125,0
2024-01-05 11:30:00+08:00,2950.6103515625,2950.6103515625,2950.6103515625,2950.498046875,2950.499755859375,14321600
2024-01-05 12:30:00+08:00,2945.45654296875,2945.45654296875,2951.11669921875,2944.360595703125,2949.48779296875,2373736500
2024-01-05 13:30:00+08:00,2926.080810546875,2926.080810546875,2948.615966796875,2926.080810546875,2945.3681640625,0
2024-01-05 14:30:00+08:00,2928.9833984375,2928.9833984375,2929.273193359375,2916.782470703125,2926.287353515625,3955687200
2024-01-08 09:30:00+08:00,2897.96240234375,2897.96240234375,2924.1904296875,2897.91162109375,2921.869384765625,2436245708
2024-01-08 10:30:00+08:00,2901.6796875,2901.6796875,2906.281982421875,2892.3603515625,2898.031494140625,433753604
2024-01-08 11:30:00+08:00,2902.39892578125,2902.39892578125,2902.616943359375,2901.68701171875,2901.68701171875,13629400
2024-01-08 12:30:00+08:00,2895.362548828125,2895.362548828125,2904.194091796875,2894.17431640625,2901.468017578125,0
2024-01-08 13:30:00+08:00,2900.8544921875,2900.8544921875,2904.397705078125,2888.026123046875,2895.228515625,624804204
2024-01-08 14:30:00+08:00,2889.33544921875,2889.33544921875,2900.635498046875,2888.950439453125,2900.635498046875,0
2024-01-09 09:30:00+08:00,2895.70849609375,2895.70849609375,2898.609130859375,2879.9150390625,2887.17431640625,2511519308
2024-01-09 10:30:00+08:00,2897.0517578125,2897.0517578125,2900.69921875,2889.868896484375,2896.0888671875,460540704
